*** New Run, Seed = 1058617387; External Seed =1750015104 *** NoCars = 0; CarMaxDeceleration = 0.15625; CarMaxSpeed = 2.5; CarMaxAcceleration = 0.1; CarMaxTurning = 15.0; NoObstacles = 0.
Failure when adding junction: 3; unable to locate intersection on road.
Failure when adding junction: 4; unable to locate intersection on road.
Failure when adding junction: 10; unable to locate intersection on road.
Failure when adding junction: 11; unable to locate intersection on road.
Failure when adding junction: 12; unable to locate intersection on road.
Junctions added: 10/15; roads added: 11.
Obstacles added: 4/8.
Car obstacles added: 19/19.
Step: 3, Car: 57 entering junction 34, at speed: 0.2, bearing: 270.0.
Step: 18, Car: 52 leaving junction, at speed: 0.47499999999999987, bearing: 37.24367049959798.
Step: 18, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 18, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 19, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 19, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 20, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 20, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 21, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 21, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 22, Car: 63 leaving junction, at speed: 0.5874999999999999, bearing: 195.0.
Step: 22, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 22, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 23, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 23, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 24, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 24, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 25, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 25, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 26, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 26, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 27, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 27, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 28, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 28, Car: 52 entering junction 38, at speed: 0.26249999999999984, bearing: 22.243670499597982.
Step: 28, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 29, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 29, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 30, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 30, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 31, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 31, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 32, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 32, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 33, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 33, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 34, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 34, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 35, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 35, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 36, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 36, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 37, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 37, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 38, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 38, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 39, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 39, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 40, Car: 52 leaving junction, at speed: 0.43749999999999967, bearing: 187.243670499598.
Step: 40, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 40, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 41, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 41, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 42, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 42, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 43, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 43, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 44, Car: 64 entering junction 39, at speed: 0.2, bearing: 270.0.
Step: 44, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 44, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 45, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 45, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 46, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 46, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 47, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 47, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 48, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 48, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 49, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 49, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 50, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 50, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 51, Car: 52 entering junction 17, at speed: 0.22499999999999964, bearing: 178.75799424524786.
Step: 51, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 51, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 52, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 52, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 53, Car: 55 entering junction 25, at speed: 0.2, bearing: 0.0.
Step: 53, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 53, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 54, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 54, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 55, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 55, Car: 54 entering junction 37, at speed: 0.2, bearing: 0.0.
Step: 55, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 56, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 56, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 57, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 57, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 58, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 58, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 59, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 59, Car: 55 leaving junction, at speed: 0.44375, bearing: 64.22218766348956.
Step: 59, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 60, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 60, Car: 52 leaving junction, at speed: 0.5124999999999995, bearing: 28.757994245247858.
Step: 60, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 61, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 61, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 61, Car: 50 entering junction 42, at speed: 0.2, bearing: 0.0.
Step: 62, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 62, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 63, Car: 65 entering junction 15, at speed: 0.17499999999999993, bearing: 271.19209072619674.
Step: 63, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 64, Car: 54 leaving junction, at speed: 0.5874999999999999, bearing: 210.0.
Step: 64, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 65, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 66, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 67, Car: 62 entering junction 13, at speed: 0.2, bearing: 90.0.
Step: 67, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 68, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 69, Car: 63 entering junction 33, at speed: 0.20624999999999993, bearing: 179.92163383891693.
Step: 69, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 70, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 70, Car: 50 leaving junction, at speed: 0.5874999999999999, bearing: 210.0.
Step: 71, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 71, Car: 52 entering junction 38, at speed: 0.24374999999999952, bearing: 13.757994245247858.
Step: 72, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 72, Car: 57 has left the road at: Double2D[-5.48806826605491,20.27227654048544], bearing: 270.0.
Step: 72, Car: 65 leaving junction, at speed: 0.4624999999999998, bearing: 121.19209072619674.
Step: 73, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 73, Car: 58 entering junction 25, at speed: 0.2, bearing: 270.0.
Step: 73, Car: 152 entering junction 42, at speed: 0.0, bearing: 180.0.
Step: 76, Car: 62 leaving junction, at speed: 0.5874999999999999, bearing: 300.0.
Step: 78, Car: 63 leaving junction, at speed: 0.5937499999999998, bearing: 29.921633838916932.
Step: 79, Car: 58 leaving junction, at speed: 0.44375, bearing: 334.9410104990022.
Step: 81, Car: 58 entering junction 27, at speed: 0.23124999999999996, bearing: 334.9410104990022.
Step: 81, Car: 67 entering junction 41, at speed: 0.2, bearing: 270.0.
Step: 81, Car: 67 would not have stopped in time, excess speed = 0.04375000000000001 in junction 41, at speed: 0.0, bearing: 270.0.
Step: 82, Car: 52 leaving junction, at speed: 0.5749999999999994, bearing: 193.75799424524786.
Step: 82, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 83, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 84, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 85, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 86, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 87, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 88, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 89, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 90, Car: 51 leaving junction, at speed: 0.5749999999999998, bearing: 97.30689923900943.
Step: 90, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 91, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 91, Car: 52 entering junction 17, at speed: 0.3062499999999994, bearing: 181.86413224943735.
Step: 92, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 92, Car: 49 entering junction 1, at speed: 0.2, bearing: 270.0.
Step: 93, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 93, Car: 152 leaving junction, at speed: 0.36249999999999993, bearing: 180.0.
Step: 93, Car: 66 entering junction 9, at speed: 0.21250000000000047, bearing: 270.0.
Step: 94, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 94, Car: 58 leaving junction, at speed: 0.5062499999999998, bearing: 0.10505220252365911.
Step: 94, Car: 64 leaving junction, at speed: 0.1, bearing: 127.92539062036803.
Step: 95, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 96, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 96, Car: 52 leaving junction, at speed: 0.4499999999999994, bearing: 246.48584716096053.
Step: 97, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 98, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 99, Car: 56 entering junction 41, at speed: 0.24375000000000002, bearing: 270.0.
Step: 99, Car: 56 would not have stopped in time, excess speed = 0.08750000000000002 in junction 41, at speed: 0.0, bearing: 270.0.
Step: 99, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 100, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 100, Car: 56 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 101, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 101, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 102, Car: 67 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 102, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 103, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 104, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 105, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 106, Car: 49 leaving junction, at speed: 0.5749999999999998, bearing: 270.0.
Step: 106, Car: 56 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 107, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 108, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 108, Car: 65 entering junction 3, at speed: 0.24999999999999978, bearing: 89.69842041647595.
Step: 109, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 110, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 111, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 112, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 113, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 114, Car: 67 leaving junction, at speed: 0.5312499999999999, bearing: 75.0.
Step: 114, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 115, Car: 60 entering junction 25, at speed: 0.24375000000000002, bearing: 270.0.
Step: 115, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 116, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 117, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 118, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 119, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 120, Car: 60 leaving junction, at speed: 0.38749999999999996, bearing: 339.1680200520108.
Step: 120, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 121, Car: 65 leaving junction, at speed: 0.4249999999999996, bearing: 37.04161862419115.
Step: 121, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 122, Car: 53 entering junction 41, at speed: 0.2, bearing: 270.0.
Step: 122, Car: 53 would not have stopped in time, excess speed = 0.04375000000000001 in junction 41, at speed: 0.0, bearing: 270.0.
Step: 122, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 123, Car: 65 entering junction 9, at speed: 0.21249999999999958, bearing: 37.04161862419115.
Step: 123, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 123, Car: 60 entering junction 27, at speed: 0.17499999999999993, bearing: 339.1680200520108.
Step: 123, Car: 63 entering junction 3, at speed: 0.2124999999999998, bearing: 359.5492525215577.
Step: 123, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 124, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 124, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 125, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 125, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 126, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 126, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 127, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 127, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 128, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 128, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 128, Car: 65 leaving junction, at speed: 0.7124999999999995, bearing: 63.17423571191562.
Step: 128, Car: 55 entering junction 29, at speed: 0.30625000000000013, bearing: 89.99987723278265.
Step: 129, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 129, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 129, Car: 62 entering junction 9, at speed: 0.2, bearing: 269.9999999999993.
Step: 130, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 130, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 131, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 131, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 132, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 132, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 133, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 133, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 134, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 134, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 135, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 135, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 136, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 136, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 137, Car: 60 leaving junction, at speed: 0.5499999999999997, bearing: 359.69527474587545.
Step: 137, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 137, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 137, Car: 63 leaving junction, at speed: 0.4874999999999996, bearing: 0.0032198362154391724.
Step: 138, Car: 63 entering junction 9, at speed: 0.5874999999999996, bearing: 0.0032198362154391724.
Step: 138, Car: 63 would not have stopped in time, excess speed = 0.4312499999999996 in junction 9, at speed: 0.0, bearing: 0.0032198362154391724.
Step: 138, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 138, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 139, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 139, Car: 63 entering junction 9, at speed: 0.1, bearing: 0.0032198362154391724.
Step: 139, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 140, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 140, Car: 63 entering junction 9, at speed: 0.1, bearing: 0.0032198362154391724.
Step: 140, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 141, Car: 63 entering junction 9, at speed: 0.1, bearing: 0.0032198362154391724.
Step: 141, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 141, Car: 55 leaving junction, at speed: 0.5812499999999999, bearing: 36.804768832812265.
Step: 141, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 142, Car: 63 entering junction 9, at speed: 0.1, bearing: 0.0032198362154391724.
Step: 142, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 142, Car: 66 leaving junction, at speed: 0.30000000000000004, bearing: 217.11379456090003.
Step: 142, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 143, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 143, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 143, Car: 63 entering junction 9, at speed: 0.1, bearing: 0.0032198362154391724.
Step: 144, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 144, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 145, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 145, Car: 66 entering junction 3, at speed: 0.28750000000000003, bearing: 217.11379456090003.
Step: 145, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 146, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 146, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 147, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 147, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 148, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 148, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 149, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 149, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 150, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 150, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 151, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 151, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 152, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 152, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 153, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 153, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 154, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 154, Car: 62 leaving junction, at speed: 0.1, bearing: 138.2606378395147.
Step: 154, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 155, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 155, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 156, Car: 56 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 156, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 157, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 158, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 158, Car: 66 leaving junction, at speed: 0.4624999999999999, bearing: 181.19818727394178.
Step: 159, Car: 53 entering junction 41, at speed: 0.0, bearing: 270.0.
Step: 159, Car: 56 leaving junction, at speed: 0.4, bearing: 210.0.
Step: 160, Car: 53 entering junction 41, at speed: 0.1, bearing: 270.0.
Step: 161, Car: 61 entering junction 39, at speed: 0.2, bearing: 270.0.
Step: 161, Car: 61 would not have stopped in time, excess speed = 0.04375000000000001 in junction 39, at speed: 0.0, bearing: 270.0.
Step: 162, Car: 54 entering junction 27, at speed: 0.20624999999999993, bearing: 179.99527344281046.
Step: 162, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 163, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 164, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 165, Car: 63 leaving junction, at speed: 0.28750000000000003, bearing: 75.72705349610989.
Step: 165, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 165, Car: 50 entering junction 29, at speed: 0.2, bearing: 179.9998594974865.
Step: 166, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 167, Car: 56 has left the road at: Double2D[-3.5169584508709586,65.59784845301247], bearing: 210.0.
Step: 167, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 168, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 168, Car: 269 entering junction 34, at speed: 0.0, bearing: 90.0.
Step: 169, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 170, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 171, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 172, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 173, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
Step: 174, Car: 61 entering junction 39, at speed: 0.1, bearing: 270.0.
